country;year;CENT;CENTconf;CENTratio;CENTunion;CONCconf;CONCunion
Austria;2006;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
Austria;2005;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
Austria;2004;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
Austria;2003;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
Austria;2002;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
Austria;2001;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
Austria;2000;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
Austria;1999;1.203960781;1;4.902903378;0.203960781;1;0.104
Austria;1998;1.203960781;1;4.902903378;0.203960781;1;0.104
Austria;1997;1.203960781;1;4.902903378;0.203960781;1;0.104
Austria;1996;1.203960781;1;4.902903378;0.203960781;1;0.104
Austria;1995;1.203960781;1;4.902903378;0.203960781;1;0.104
Austria;1994;1.203960781;1;4.902903378;0.203960781;1;0.104
Austria;1993;1.203960781;1;4.902903378;0.203960781;1;0.104
Austria;1992;1.203960781;1;4.902903378;0.203960781;1;0.104
Austria;1991;1.203960781;1;4.902903378;0.203960781;1;0.104
Austria;1990;1.203960781;1;4.902903378;0.203960781;1;0.104
Austria;1989;1.203960781;1;4.902903378;0.203960781;1;0.104
Austria;1988;1.203960781;1;4.902903378;0.203960781;1;0.104
Austria;1987;1.203960781;1;4.902903378;0.203960781;1;0.104
Austria;1986;1.203960781;1;4.902903378;0.203960781;1;0.104
Austria;1985;1.203960781;1;4.902903378;0.203960781;1;0.104
Austria;1984;1.203960781;1;4.902903378;0.203960781;1;0.104
Austria;1983;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1982;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1981;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1980;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1979;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1978;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1977;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1976;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1975;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1974;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1973;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1972;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1971;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1970;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1969;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1968;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1967;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1966;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1965;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1964;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1963;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1962;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1961;1.144222051;1;6.933752453;0.144222051;1;0.104
Austria;1960;1.144222051;1;6.933752453;0.144222051;1;0.104
Belgium;2017;;;;;;
Belgium;2016;0.63215659;0.349313878;1.235011059;0.282842712;0.406733951;0.16
Belgium;2015;0.636072196;0.353229484;1.248854817;0.282842712;0.415903561;0.16
Belgium;2014;0.641719952;0.358877239;1.268822648;0.282842712;0.429309577;0.16
Belgium;2013;0.638974742;0.356132029;1.259116865;0.282842712;0.422766741;0.16
Belgium;2012;0.63999475;0.357152038;1.262723139;0.282842712;0.425191927;0.16
Belgium;2011;0.641861901;0.359019189;1.269324515;0.282842712;0.42964926;0.16
Belgium;2010;0.642368173;0.359525461;1.271114457;0.282842712;0.430861856;0.16
Belgium;2009;0.642791069;0.359948357;1.27260962;0.282842712;0.431876066;0.16
Belgium;2008;0.62453067;0.359955539;1.360504057;0.264575131;0.431893301;0.14
Belgium;2007;0.624477229;0.359902098;1.360302069;0.264575131;0.431765068;0.14
Belgium;2006;0.624839186;0.360264054;1.361670135;0.264575131;0.432633963;0.14
Belgium;2005;0.625675201;0.36110007;1.364829977;0.264575131;0.434644202;0.14
Belgium;2004;0.625915003;0.361339872;1.365736342;0.264575131;0.435221676;0.14
Belgium;2003;0.626324649;0.361749518;1.36728466;0.264575131;0.436209047;0.14
Belgium;2002;0.626802077;0.362226945;1.369089166;0.264575131;0.4373612;0.14
Belgium;2001;0.593692525;0.366756411;1.616121841;0.226936114;0.44836755;0.103
Belgium;2000;0.594148407;0.367212293;1.618130697;0.226936114;0.449482893;0.103
Belgium;1999;0.592153554;0.36521744;1.609340325;0.226936114;0.444612595;0.103
Belgium;1998;0.592574955;0.36563884;1.611197236;0.226936114;0.445639205;0.103
Belgium;1997;0.592389204;0.36545309;1.610378723;0.226936114;0.445186537;0.103
Belgium;1996;0.593363164;0.365328079;1.602069605;0.228035085;0.444882017;0.104
Belgium;1995;0.593148921;0.365113836;1.60113009;0.228035085;0.444360378;0.104
Belgium;1994;0.593156479;0.366220365;1.613759739;0.226936114;0.447057852;0.103
Belgium;1993;0.591183748;0.365351952;1.617805637;0.225831796;0.444940164;0.102
Belgium;1992;0.589784691;0.365062641;1.62450743;0.224722051;0.444235773;0.101
Belgium;1991;0.588609282;0.363887232;1.619276929;0.224722051;0.441379725;0.101
Belgium;1990;0.58670988;0.363103082;1.62384635;0.223606798;0.439479495;0.1
Belgium;1989;0.587257778;0.363650981;1.626296626;0.223606798;0.440806786;0.1
Belgium;1988;0.586808198;0.363201401;1.624286042;0.223606798;0.439717525;0.1
Belgium;1987;0.58643775;0.362830952;1.622629345;0.223606798;0.438820999;0.1
Belgium;1986;0.586226215;0.362619417;1.621683335;0.223606798;0.438309473;0.1
Belgium;1985;0.585047467;0.36144067;1.616411814;0.223606798;0.435464525;0.1
Belgium;1984;0.584423568;0.36081677;1.61362165;0.223606798;0.433962472;0.1
Belgium;1983;0.603895907;0.360996751;1.486200106;0.242899156;0.434395515;0.118
Belgium;1982;0.602840392;0.36097266;1.492438267;0.241867732;0.434337537;0.117
Belgium;1981;0.602632755;0.360765022;1.491579793;0.241867732;0.433838004;0.117
Belgium;1980;0.60239372;0.361561829;1.501303778;0.240831892;0.43575652;0.116
Belgium;1979;0.59986668;0.360075104;1.501616987;0.239791576;0.432180268;0.115
Belgium;1978;0.601341526;0.36154995;1.507767518;0.239791576;0.435727887;0.115
Belgium;1977;0.601184465;0.362437737;1.518084629;0.238746728;0.437870378;0.114
Belgium;1976;0.602059162;0.363312434;1.521748331;0.238746728;0.439986417;0.114
Belgium;1975;0.601791576;0.364094289;1.531756186;0.237697286;0.441882171;0.113
Belgium;1974;0.601139571;0.36449638;1.54027833;0.236643191;0.442858702;0.112
Belgium;1973;0.600433335;0.364848955;1.548697563;0.23558438;0.443715866;0.111
Belgium;1972;0.600397051;0.365876263;1.560101629;0.234520788;0.446218134;0.11
Belgium;1971;0.60006953;0.36661718;1.570415456;0.233452351;0.448027188;0.109
Belgium;1970;0.642872756;0.367918214;1.338105609;0.274954542;0.451212708;0.108
Belgium;1969;0.642757539;0.367802998;1.337686569;0.274954542;0.45093015;0.108
Belgium;1968;0.642445679;0.367491137;1.336552343;0.274954542;0.450165786;0.108
Belgium;1967;0.642299537;0.367344995;1.336020829;0.274954542;0.449807818;0.108
Belgium;1966;0.64167728;0.366722739;1.333757706;0.274954542;0.448285224;0.108
Belgium;1965;0.639915407;0.366236763;1.338200008;0.273678644;0.447097889;0.107
Belgium;1964;0.641191234;0.366236692;1.331989971;0.274954542;0.447097716;0.108
Belgium;1963;0.642050315;0.365825769;1.324378206;0.276224546;0.446094978;0.109
Belgium;1962;0.641204806;0.36498026;1.321317258;0.276224546;0.444035301;0.109
Belgium;1961;0.642587324;0.365098586;1.315723975;0.277488739;0.444323258;0.11
Belgium;1960;0.64384483;0.365097632;1.30978046;0.278747197;0.444320937;0.111
Brazil;2017;;;;;;
Brazil;2016;;;;;0.230783843;
Brazil;2015;;;;;;
Brazil;2014;;;;;;
Brazil;2013;;;;;;
Brazil;2012;;;;;;
Brazil;2011;;;;;0.258195361;
Brazil;2010;;;;;;
Brazil;2009;;;;;;
Brazil;2008;;;;;0.215318344;
Brazil;2007;;;;;;
Brazil;2006;;;;;;
Brazil;2005;;;;;;
Brazil;2004;;;;;;
Brazil;2003;;;;;;
Brazil;2002;;;;;;
Brazil;2001;;;;;;
Brazil;2000;;;;;;
Brazil;1999;;;;;;
Brazil;1998;;;;;;
Brazil;1997;;;;;;
Brazil;1996;;;;;;
Brazil;1995;;;;;;
Brazil;1994;;;;;;
Brazil;1993;;;;;;
Brazil;1992;;;;;;
Brazil;1991;;;;;;
Brazil;1990;;;;;;
Brazil;1989;;;;;;
Brazil;1988;;;;;;
Brazil;1987;;;;;;
Brazil;1986;;;;;;
Brazil;1985;;;;;;
Brazil;1984;;;;;;
Brazil;1983;;;;;;
Brazil;1982;;;;;;
Brazil;1981;;;;;;
Brazil;1980;;;;;;
Brazil;1979;;;;;;
Brazil;1978;;;;;;
Brazil;1977;;;;;;
Brazil;1976;;;;;;
Brazil;1975;;;;;;
Brazil;1974;;;;;;
Brazil;1973;;;;;;
Brazil;1972;;;;;;
Brazil;1971;;;;;;
Brazil;1970;;;;;;
Brazil;1969;;;;;;
Brazil;1968;;;;;;
Brazil;1967;;;;;;
Brazil;1966;;;;;;
Brazil;1965;;;;;;
Brazil;1964;;;;;;
Brazil;1963;;;;;;
Brazil;1962;;;;;;
Brazil;1961;;;;;;
Brazil;1960;;;;;;
Bulgaria;2017;;;;;;
Bulgaria;2016;;;;;0.42785611;
Bulgaria;2015;;;;;0.426676004;
Bulgaria;2014;;;;;0.424852055;
Bulgaria;2013;;;;;0.431279209;
Bulgaria;2012;;;;;0.433494621;
Bulgaria;2011;;;;;0.420118407;
Bulgaria;2010;;;;;0.409163242;
Bulgaria;2009;;;;;0.391215799;
Bulgaria;2008;;;;;0.396054185;
Bulgaria;2007;;;;;0.494238387;
Bulgaria;2006;;;;;;
Bulgaria;2005;;;;;0.503865584;
Bulgaria;2004;;;;;;
Bulgaria;2003;;;;;0.544008414;
Bulgaria;2002;;;;;;
Bulgaria;2001;;;;;;
Bulgaria;2000;;;;;0.582382529;
Bulgaria;1999;;;;;;
Bulgaria;1998;;;;;0.652045639;
Bulgaria;1997;;;;;0.659098475;
Bulgaria;1996;;;;;;
Bulgaria;1995;;;;;;
Bulgaria;1994;;;;;;
Bulgaria;1993;;;;;0.5508948;
Bulgaria;1992;;;;;;
Bulgaria;1991;;;;;;
Bulgaria;1990;;;;;;
Bulgaria;1989;;;;;;
Bulgaria;1988;;;;;;
Bulgaria;1987;;;;;;
Bulgaria;1986;;;;;;
Bulgaria;1985;0;0;;;;
Bulgaria;1984;;;;;;
Bulgaria;1983;;;;;;
Bulgaria;1982;;;;;;
Bulgaria;1981;;;;;;
Bulgaria;1980;;;;;;
Bulgaria;1979;;;;;;
Bulgaria;1978;0;0;;;;
Bulgaria;1977;;;;;;
Bulgaria;1976;;;;;;
Bulgaria;1975;;;;;;
Bulgaria;1974;;;;;;
Bulgaria;1973;;;;;;
Bulgaria;1972;0;0;;;;
Bulgaria;1971;;;;;;
Bulgaria;1970;;;;;;
Bulgaria;1969;;;;;;
Bulgaria;1968;;;;;;
Bulgaria;1967;;;;;;
Bulgaria;1966;;;;;;
Bulgaria;1965;;;;;;
Bulgaria;1964;;;;;;
Bulgaria;1963;;;;;;
Bulgaria;1962;;;;;;
Bulgaria;1961;;;;;;
Bulgaria;1960;;;;;;
Canada;2017;;;;;;
Canada;2016;;;;;;
Canada;2015;0.260768096;0;0;0.260768096;0.481643535;0.085
Canada;2014;0.263818119;0;0;0.263818119;0.479616013;0.087
Canada;2013;0.265329983;0;0;0.265329983;0.481259087;0.088
Canada;2012;0.266833281;0;0;0.266833281;0.4847855;0.089
Canada;2011;0.266833281;0;0;0.266833281;0.49926318;0.089
Canada;2010;0.266833281;0;0;0.266833281;0.494561644;0.089
Canada;2009;0.262297541;0;0;0.262297541;0.49575;0.086
Canada;2008;0.259229628;0;0;0.259229628;0.495236139;0.084
Canada;2007;0.24657656;0;0;0.24657656;0.505574088;0.076
Canada;2006;0.248193473;0;0;0.248193473;0.505555489;0.077
Canada;2005;0.24657656;0;0;0.24657656;0.523467157;0.076
Canada;2004;0.24657656;0;0;0.24657656;0.524319644;0.076
Canada;2003;0.24657656;0;0;0.24657656;0.541853126;0.076
Canada;2002;0.22090722;0;0;0.22090722;0.531978425;0.061
Canada;2001;0.22090722;0;0;0.22090722;0.534654848;0.061
Canada;2000;0.22090722;0;0;0.22090722;0.532381028;0.061
Canada;1999;0.22090722;0;0;0.22090722;0.485981177;0.061
Canada;1998;0.22090722;0;0;0.22090722;0.478352333;0.061
Canada;1997;0.287054002;0;0;0.287054002;0.449898334;0.103
Canada;1996;0.287054002;0;0;0.287054002;0.435366989;0.103
Canada;1995;0.287054002;0;0;0.287054002;0.40577355;0.103
Canada;1994;0.287054002;0;0;0.287054002;0.355217273;0.103
Canada;1993;0.287054002;0;0;0.287054002;0.376093042;0.103
Canada;1992;0.213541565;0;0;0.213541565;0.363522981;0.057
Canada;1991;0.213541565;0;0;0.213541565;0.341700133;0.057
Canada;1990;0.213541565;0;0;0.213541565;0.349363117;0.057
Canada;1989;0.213541565;0;0;0.213541565;0.34032241;0.057
Canada;1988;0.213541565;0;0;0.213541565;0.343429119;0.057
Canada;1987;0.2;0;0;0.2;0.349133318;0.05
Canada;1986;0.2;0;0;0.2;0.343381898;0.05
Canada;1985;0.2;0;0;0.2;0.341117917;0.05
Canada;1984;0.2;0;0;0.2;0.332319371;0.05
Canada;1983;0.2;0;0;0.2;0.338424674;0.05
Canada;1982;0.172046505;0;0;0.172046505;0.313033681;0.037
Canada;1981;0.172046505;0;0;0.172046505;0.465464007;0.037
Canada;1980;0.172046505;0;0;0.172046505;0.473381195;0.037
Canada;1979;0.172046505;0;0;0.172046505;0.465;0.037
Canada;1978;0.172046505;0;0;0.172046505;0.455064649;0.037
Canada;1977;0.154919334;0;0;0.154919334;0.475195453;0.03
Canada;1976;0.154919334;0;0;0.154919334;0.511092459;0.03
Canada;1975;0.154919334;0;0;0.154919334;0.508704722;0.03
Canada;1974;0.154919334;0;0;0.154919334;0.518575676;0.03
Canada;1973;0.154919334;0;0;0.154919334;0.511752559;0.03
Canada;1972;0.152315462;0;0;0.152315462;0.537816442;0.029
Canada;1971;0.152315462;0;0;0.152315462;0.568890513;0.029
Canada;1970;0.152315462;0;0;0.152315462;0.573302055;0.029
Canada;1969;0.146969385;0;0;0.146969385;0.596250647;0.027
Canada;1968;0.146969385;0;0;0.146969385;0.621382701;0.027
Canada;1967;0.146969385;0;0;0.146969385;0.580819843;0.027
Canada;1966;0.146969385;0;0;0.146969385;0.557129372;0.027
Canada;1965;0.146969385;0;0;0.146969385;0.561508043;0.027
Canada;1964;0.120389639;0;0;0.120389639;0.555492257;0.018117081
Canada;1963;0.120389639;0;0;0.120389639;0.561257291;0.018117081
Canada;1962;0.120389639;0;0;0.120389639;0.548688695;0.018117081
Canada;1961;0.120389639;0;0;0.120389639;0.552254236;0.018117081
Canada;1960;0.120389639;0;0;0.120389639;0.597145869;0.018117081
Chile;2017;;;;;;
Chile;2016;;;;;;
Chile;2015;;;;;;
Chile;2014;;;;;0.164843253;
Chile;2013;;;;;;
Chile;2012;;;;;;
Chile;2011;;;;;0.200909679;
Chile;2010;;;;;;
Chile;2009;;;;;;
Chile;2008;;;;;0.267020541;
Chile;2007;;;;;;
Chile;2006;;;;;;
Chile;2005;;;;;;
Chile;2004;;;;;;
Chile;2003;;;;;;
Chile;2002;;;;;0.589232386;
Chile;2001;;;;;;
Chile;2000;;;;;;
Chile;1999;;;;;;
Chile;1998;;;;;0.240685311;
Chile;1997;;;;;;
Chile;1996;;;;;;
Chile;1995;;;;;;
Chile;1994;;;;;;
Chile;1993;;;;;;
Chile;1992;;;;;;
Chile;1991;;;;;;
Chile;1990;;;;;0.381919111;
Chile;1989;;;;;;
Chile;1988;;;;;;
Chile;1987;;;;;;
Chile;1986;;;;;;
Chile;1985;;;;;;
Chile;1984;;;;;;
Chile;1983;;;;;;
Chile;1982;;;;;;
Chile;1981;;;;;;
Chile;1980;;;;;;
Chile;1979;;;;;;
Chile;1978;;;;;;
Chile;1977;;;;;;
Chile;1976;;;;;;
Chile;1975;;;;;;
Chile;1974;;;;;;
Chile;1973;;;;;0.559407471;
Chile;1972;;;;;;
Chile;1971;;;;;;
Chile;1970;;;;;;
Chile;1969;;;;;;
Chile;1968;;;;;0.449329456;
Chile;1967;;;;;;
Chile;1966;;;;;;
Chile;1965;;;;;;
Chile;1964;;;;;;
Chile;1963;;;;;;
Chile;1962;;;;;;
Chile;1961;;;;;;
Chile;1960;;;;;;
China;2017;;;;;;
China;2016;;;;;1;
China;2015;;;;;;
China;2014;;;;;;
China;2013;;;;;1;
China;2012;;;;;1;
China;2011;;;;;1;
China;2010;;;;;1;
China;2009;;;;;1;
China;2008;;;;;1;
China;2007;;;;;1;
China;2006;;;;;0.999976463;
China;2005;;;;;1;
China;2004;;;;;1;
China;2003;;;;;1;
China;2002;;;;;1;
China;2001;;;;;1;
China;2000;;;;;1;
China;1999;;;;;1;
China;1998;;;;;1;
China;1997;;;;;1;
China;1996;;;;;1;
China;1995;;;;;1;
China;1994;;;;;1;
China;1993;;;;;1;
China;1992;;;;;1;
China;1991;;;;;1;
China;1990;;;;;1;
China;1989;;;;;1;
China;1988;;;;;1;
China;1987;;;;;1;
China;1986;;;;;1;
China;1985;;;;;1;
China;1984;;;;;1;
China;1983;;;;;1;
China;1982;;;;;1;
China;1981;;;;;1;
China;1980;;;;;1;
China;1979;;;;;1;
China;1978;;;;;;
China;1977;;;;;;
China;1976;;;;;;
China;1975;;;;;;
China;1974;;;;;;
China;1973;;;;;;
China;1972;;;;;;
China;1971;;;;;;
China;1970;;;;;;
China;1969;;;;;;
China;1968;;;;;;
China;1967;;;;;;
China;1966;;;;;;
China;1965;;;;;1;
China;1964;;;;;;
China;1963;;;;;;
China;1962;;;;;;
China;1961;;;;;;
China;1960;;;;;;
Colombia;2017;;;;;;
Colombia;2016;;;;;0.772749011;
Colombia;2015;;;;;;
Colombia;2014;;;;;;
Colombia;2013;;;;;;
Colombia;2012;;;;;;
Colombia;2011;;;;;;
Colombia;2010;;;;;;
Colombia;2009;;;;;;
Colombia;2008;;;;;;
Colombia;2007;;;;;;
Colombia;2006;;;;;;
Colombia;2005;;;;;;
Colombia;2004;;;;;;
Colombia;2003;;;;;;
Colombia;2002;;;;;;
Colombia;2001;;;;;;
Colombia;2000;;;;;;
Colombia;1999;;;;;;
Colombia;1998;;;;;;
Colombia;1997;;;;;;
Colombia;1996;;;;;;
Colombia;1995;;;;;;
Colombia;1994;;;;;;
Colombia;1993;;;;;;
Colombia;1992;;;;;;
Colombia;1991;;;;;;
Colombia;1990;;;;;;
Colombia;1989;;;;;;
Colombia;1988;;;;;;
Colombia;1987;;;;;;
Colombia;1986;;;;;;
Colombia;1985;;;;;;
Colombia;1984;;;;;;
Colombia;1983;;;;;;
Colombia;1982;;;;;;
Colombia;1981;;;;;;
Colombia;1980;;;;;;
Colombia;1979;;;;;;
Colombia;1978;;;;;;
Colombia;1977;;;;;;
Colombia;1976;;;;;;
Colombia;1975;;;;;;
Colombia;1974;;;;;;
Colombia;1973;;;;;;
Colombia;1972;;;;;;
Colombia;1971;;;;;;
Colombia;1970;;;;;;
Colombia;1969;;;;;;
Colombia;1968;;;;;;
Colombia;1967;;;;;;
Colombia;1966;;;;;;
Colombia;1965;;;;;;
Colombia;1964;;;;;;
Colombia;1963;;;;;;
Colombia;1962;;;;;;
Colombia;1961;;;;;;
Colombia;1960;;;;;;
Costa Rica;2017;;;;;;
Costa Rica;2016;;;;;;
Costa Rica;2015;;;;;0.126900953;
Costa Rica;2014;;;;;;
Costa Rica;2013;;;;;;
Costa Rica;2012;;;;;;
Costa Rica;2011;;;;;;
Costa Rica;2010;;;;;;
Costa Rica;2009;;;;;;
Costa Rica;2008;;;;;;
Costa Rica;2007;;;;;;
Costa Rica;2006;;;;;;
Costa Rica;2005;;;;;;
Costa Rica;2004;;;;;;
Costa Rica;2003;;;;;;
Costa Rica;2002;;;;;;
Costa Rica;2001;;;;;;
Costa Rica;2000;;;;;;
Costa Rica;1999;;;;;;
Costa Rica;1998;;;;;;
Costa Rica;1997;;;;;;
Costa Rica;1996;;;;;;
Costa Rica;1995;;;;;;
Costa Rica;1994;;;;;;
Costa Rica;1993;;;;;;
Costa Rica;1992;;;;;;
Costa Rica;1991;;;;;;
Costa Rica;1990;;;;;;
Costa Rica;1989;;;;;;
Costa Rica;1988;;;;;;
Costa Rica;1987;;;;;;
Costa Rica;1986;;;;;;
Costa Rica;1985;;;;;;
Costa Rica;1984;;;;;;
Costa Rica;1983;;;;;;
Costa Rica;1982;;;;;;
Costa Rica;1981;;;;;;
Costa Rica;1980;;;;;;
Costa Rica;1979;;;;;;
Costa Rica;1978;;;;;;
Costa Rica;1977;;;;;;
Costa Rica;1976;;;;;;
Costa Rica;1975;;;;;;
Costa Rica;1974;;;;;;
Costa Rica;1973;;;;;;
Costa Rica;1972;;;;;;
Costa Rica;1971;;;;;;
Costa Rica;1970;;;;;;
Costa Rica;1969;;;;;;
Costa Rica;1968;;;;;;
Costa Rica;1967;;;;;;
Costa Rica;1966;;;;;;
Costa Rica;1965;;;;;;
Costa Rica;1964;;;;;;
Costa Rica;1963;;;;;;
Costa Rica;1962;;;;;;
Costa Rica;1961;;;;;;
Costa Rica;1960;;;;;;
Croatia;2017;;;;;;
Croatia;2016;;;;;;
Croatia;2015;;;;;0.215558504;
Croatia;2014;;;;;0.252535241;
Croatia;2013;;;;;0.26400915;
Croatia;2012;;;;;0.234074668;
Croatia;2011;;;;;0.254020062;
Croatia;2010;;;;;;
Croatia;2009;;;;;;
Croatia;2008;;;;;0.257049263;
Croatia;2007;;;;;;
Croatia;2006;;;;;;
Croatia;2005;;;;;;
Croatia;2004;;;;;;
Croatia;2003;;;;;;
Croatia;2002;;;;;;
Croatia;2001;;;;;;
Croatia;2000;;;;;;
Croatia;1999;;;;;;
Croatia;1998;;;;;;
Croatia;1997;;;;;;
Croatia;1996;;;;;;
Croatia;1995;;;;;;
Croatia;1994;;;;;;
Croatia;1993;;;;;;
Croatia;1992;;;;;;
Croatia;1991;;;;;;
